loan_id,time,event,trigger_tier,collateral_amount,price,usd_value,debt_repaid,reserve_change_usd,hf,ltv,close_factor,liquidation_bonus
0,119,SELL,Tier 1,0.22431708109916335,93617.4806532748,21000.0,20000.0,1000.0,1.0466507481455292,0.8121142620936757,0.2,0.05
0,136,BUY,Tier 1,0.010492984565112386,95301.76984390612,1000.0,0.0,-1000.0,1.1047122584937608,0.769431128752882,0.2,0.05
0,170,SELL,Tier 1,0.1886874779576166,89036.115071577,16800.0,16000.0,800.0,1.0420089433125843,0.8157319622399969,0.2,0.05
0,173,SELL,Tier 1,0.15626990766035606,86005.0421813206,13439.999999999998,12800.0,639.9999999999982,1.0426404363252362,0.8152379002255147,0.2,0.05
0,178,SELL,Tier 1,0.1295814803304112,82974.81995563093,10752.0,10240.0,512.0,1.0421176378429782,0.815646880096347,0.2,0.05
0,182,SELL,Tier 1,0.10750892078460918,80008.2443133537,8601.6,8192.0,409.60000000000036,1.040926196025649,0.8165804677078714,0.2,0.05
0,187,SELL,Tier 1,0.08938932912504695,76981.00061108817,6881.280000000001,6553.6,327.6800000000003,1.0372436005352403,0.8194796280848408,0.2,0.05
0,189,BUY,Tier 1,0.03401577384716035,79059.7918507887,2689.279999999999,0.0,-2689.279999999999,1.1024163393008353,0.7710335648137068,0.2,0.05
2,462,SELL,Tier 1,0.29250429200417927,71793.81832694597,21000.0,20000.0,1000.0,1.0406111508613742,0.816827687553036,0.2,0.05
2,467,BUY,Tier 1,0.013490324470837204,74127.20147404583,1000.0000000000001,0.0,-1000.0000000000001,1.1126634657091565,0.7639326950114715,0.2,0.05
3,454,SELL,Tier 1,0.27125828593061596,77416.98996568719,21000.0,20000.0,1000.0,1.0333816354804966,0.8225421962378607,0.2,0.05
3,457,SELL,Tier 1,0.22484739974302018,74717.34171353927,16800.0,16000.0,800.0,1.0313382648811338,0.8241718832161883,0.2,0.05
3,461,SELL,Tier 1,0.1845615138602533,72821.24923496526,13440.0,12800.0,640.0,1.0389948708649417,0.8180983600933397,0.2,0.05
3,463,SELL,Tier 1,0.15128895898579162,71069.29727112327,10752.0,10240.0,512.0,1.0497410855390439,0.8097234753496606,0.2,0.05
3,465,BUY,Tier 1,0.04093012869985727,72122.91028076572,2952.0,0.0,-2952.0,1.105196706911526,0.7690938587532768,0.2,0.05
