Parameter,Value
Price source,synthetic
Number of loans,5
Loan value (USD),100000.0
Initial CR,1.3
Liquidation threshold,0.85
HF down triggers,"1.0500,1.0000,0.9500"
Close factors,"0.2000,0.3000,0.5000"
Liquidation bonuses,"0.0500,0.0800,0.1200"
Buyback ratios,"0.5000,0.7000,1.0000"
Buyback bandwidth,0.05
Random seed,42
Synthetic length,720
Min tail,120
